"","name","sex","year","n"
"1","Isla","Female",2023,285
"2","Charlotte","Female",2023,279
"3","Amelia","Female",2023,271
"4","Harper","Female",2023,235
"5","Olivia","Female",2023,232
"6","Matilda","Female",2023,207
"7","Ivy","Female",2023,205
"8","Mia","Female",2023,203
"9","Willow","Female",2023,199
"10","Ava","Female",2023,196
"11","Hazel","Female",2023,193
"12","Sophie","Female",2023,189
"13","Ella","Female",2023,183
"14","Grace","Female",2023,180
"15","Lily","Female",2023,178
"16","Sophia","Female",2023,176
"17","Evelyn","Female",2023,170
"18","Isabella","Female",2023,168
"19","Violet","Female",2023,164
"20","Aria","Female",2023,155
"21","Lucy","Female",2023,151
"22","Daisy","Female",2023,149
"23","Mila","Female",2023,148
"24","Ruby","Female",2023,141
"25","Ellie","Female",2023,141
"26","Layla","Female",2023,139
"27","Florence","Female",2023,135
"28","Freya","Female",2023,130
"29","Evie","Female",2023,130
"30","Penelope","Female",2023,129
"31","Millie","Female",2023,128
"32","Luna","Female",2023,127
"33","Mackenzie","Female",2023,126
"34","Billie","Female",2023,126
"35","Chloe","Female",2023,125
"36","Aurora","Female",2023,124
"37","Elsie","Female",2023,121
"38","Georgia","Female",2023,119
"39","Audrey","Female",2023,116
"40","Sienna","Female",2023,114
"41","Sadie","Female",2023,110
"42","Zoe","Female",2023,108
"43","Eleanor","Female",2023,105
"44","Poppy","Female",2023,103
"45","Isabelle","Female",2023,102
"46","Ayla","Female",2023,102
"47","Abigail","Female",2023,99
"48","Harlow","Female",2023,98
"49","Scarlett","Female",2023,97
"50","Frankie","Female",2023,96
"51","Remi","Female",2023,94
"52","Emily","Female",2023,94
"53","Sofia","Female",2023,93
"54","Bonnie","Female",2023,93
"55","Olive","Female",2023,90
"56","Maeve","Female",2023,90
"57","Summer","Female",2023,89
"58","Hallie","Female",2023,89
"59","Alice","Female",2023,85
"60","Zara","Female",2023,83
"61","Eloise","Female",2023,83
"62","Phoebe","Female",2023,79
"63","Stella","Female",2023,78
"64","Harriet","Female",2023,77
"65","Delilah","Female",2023,75
"66","Elizabeth","Female",2023,75
"67","Hannah","Female",2023,72
"68","Lola","Female",2023,71
"69","Addison","Female",2023,71
"70","Maya","Female",2023,70
"71","Emma","Female",2023,70
"72","Pippa","Female",2023,69
"73","Athena","Female",2023,69
"74","Adeline","Female",2023,67
"75","Nora","Female",2023,66
"76","Emilia","Female",2023,66
"77","Maisie","Female",2023,63
"78","Octavia","Female",2023,62
"79","Paisley","Female",2023,61
"80","Rose","Female",2023,60
"81","Quinn","Female",2023,60
"82","Claire","Female",2023,60
"83","Savannah","Female",2023,59
"84","Eden","Female",2023,59
"85","Riley","Female",2023,58
"86","Piper","Female",2023,56
"87","Bella","Female",2023,56
"88","Thea","Female",2023,55
"89","Sage","Female",2023,55
"90","Lilly","Female",2023,55
"91","Gracie","Female",2023,54
"92","Elena","Female",2023,54
"93","Peyton","Female",2023,53
"94","Maggie","Female",2023,53
"95","Lainey","Female",2023,53
"96","Margot","Female",2023,52
"97","Aubrey","Female",2023,52
"98","Heidi","Female",2023,51
"99","Lillian","Female",2023,51
"100","Aaliyah","Female",2023,51
"101","Amelia","Female",2022,321
"102","Charlotte","Female",2022,308
"103","Isla","Female",2022,296
"104","Olivia","Female",2022,285
"105","Ava","Female",2022,250
"106","Mia","Female",2022,245
"107","Willow","Female",2022,233
"108","Matilda","Female",2022,232
"109","Lily","Female",2022,228
"110","Ella","Female",2022,216
"111","Ivy","Female",2022,208
"112","Sophie","Female",2022,204
"113","Harper","Female",2022,199
"114","Ruby","Female",2022,197
"115","Grace","Female",2022,194
"116","Evelyn","Female",2022,180
"117","Isabella","Female",2022,177
"118","Sophia","Female",2022,168
"119","Violet","Female",2022,162
"120","Hazel","Female",2022,161
"121","Luna","Female",2022,160
"122","Aurora","Female",2022,158
"123","Sienna","Female",2022,157
"124","Evie","Female",2022,150
"125","Mila","Female",2022,145
"126","Aria","Female",2022,144
"127","Freya","Female",2022,142
"128","Layla","Female",2022,141
"129","Chloe","Female",2022,138
"130","Lucy","Female",2022,135
"131","Penelope","Female",2022,133
"132","Georgia","Female",2022,132
"133","Ellie","Female",2022,132
"134","Florence","Female",2022,132
"135","Elsie","Female",2022,129
"136","Daisy","Female",2022,127
"137","Audrey","Female",2022,123
"138","Zoe","Female",2022,122
"139","Frankie","Female",2022,122
"140","Poppy","Female",2022,119
"141","Eleanor","Female",2022,119
"142","Millie","Female",2022,117
"143","Scarlett","Female",2022,114
"144","Abigail","Female",2022,110
"145","Remi","Female",2022,105
"146","Sadie","Female",2022,105
"147","Maeve","Female",2022,103
"148","Isabelle","Female",2022,103
"149","Sofia","Female",2022,102
"150","Alice","Female",2022,102
"151","Mackenzie","Female",2022,101
"152","Eloise","Female",2022,100
"153","Zara","Female",2022,99
"154","Emily","Female",2022,99
"155","Hallie","Female",2022,95
"156","Ayla","Female",2022,94
"157","Lola","Female",2022,92
"158","Piper","Female",2022,91
"159","Hannah","Female",2022,90
"160","Bonnie","Female",2022,89
"161","Stella","Female",2022,86
"162","Olive","Female",2022,83
"163","Harriet","Female",2022,83
"164","Charlie","Female",2022,83
"165","Delilah","Female",2022,82
"166","Billie","Female",2022,81
"167","Maya","Female",2022,80
"168","Addison","Female",2022,80
"169","Summer","Female",2022,79
"170","Emma","Female",2022,78
"171","Emilia","Female",2022,77
"172","Harlow","Female",2022,73
"173","Savannah","Female",2022,72
"174","Lilly","Female",2022,71
"175","Adeline","Female",2022,69
"176","Peyton","Female",2022,68
"177","Phoebe","Female",2022,68
"178","Gracie","Female",2022,67
"179","Athena","Female",2022,67
"180","Thea","Female",2022,66
"181","Rosie","Female",2022,65
"182","Quinn","Female",2022,65
"183","Eva","Female",2022,65
"184","Elizabeth","Female",2022,65
"185","Eden","Female",2022,63
"186","Claire","Female",2022,62
"187","Bella","Female",2022,62
"188","Rose","Female",2022,61
"189","Heidi","Female",2022,61
"190","Pippa","Female",2022,60
"191","Imogen","Female",2022,60
"192","Margot","Female",2022,59
"193","Madeline","Female",2022,55
"194","Jasmine","Female",2022,54
"195","Arabella","Female",2022,54
"196","Sage","Female",2022,53
"197","Skylar","Female",2022,52
"198","Maggie","Female",2022,52
"199","Brooklyn","Female",2022,52
"200","Hayley","Female",2022,51
"201","Isla","Female",2021,347
"202","Olivia","Female",2021,320
"203","Charlotte","Female",2021,307
"204","Willow","Female",2021,288
"205","Mia","Female",2021,286
"206","Ava","Female",2021,285
"207","Grace","Female",2021,279
"208","Amelia","Female",2021,276
"209","Matilda","Female",2021,224
"210","Lily","Female",2021,215
